Name,TumorType,TP,TN,FP,FN,TPR,TNR,PPV,NPV,ACC,DS
BraTS20_Training_005,Whole Tumor,7997,8585202,320835,13966,0.364,0.964,0.024,0.998,0.962,0.046
BraTS20_Training_005,Edema,9,8906565,13882,7544,0.001,0.998,0.001,0.999,0.998,0.001
BraTS20_Training_005,Tumor Core,4504,8603153,310437,9906,0.313,0.965,0.014,0.999,0.964,0.027
BraTS20_Training_005,Enhancing Core,2414,8605284,311930,8372,0.224,0.965,0.008,0.999,0.964,0.015
BraTS20_Training_055,Whole Tumor,118052,8182988,626618,342,0.997,0.929,0.159,1.0,0.93,0.274
BraTS20_Training_055,Edema,60518,8294363,530410,42709,0.586,0.94,0.102,0.995,0.936,0.174
BraTS20_Training_055,Tumor Core,13126,8772217,140616,2041,0.865,0.984,0.085,1.0,0.984,0.155
BraTS20_Training_055,Enhancing Core,8495,8824439,94984,82,0.99,0.989,0.082,1.0,0.989,0.152
BraTS20_Training_083,Whole Tumor,50321,8452336,402006,23337,0.683,0.955,0.111,0.997,0.952,0.191
BraTS20_Training_083,Edema,2245,8838675,26225,60855,0.036,0.997,0.079,0.993,0.99,0.049
BraTS20_Training_083,Tumor Core,5065,8498650,418792,5493,0.48,0.953,0.012,0.999,0.952,0.023
BraTS20_Training_083,Enhancing Core,3732,8501886,418947,3435,0.521,0.953,0.009,1.0,0.953,0.017
BraTS20_Training_108,Whole Tumor,17615,8575663,334445,277,0.985,0.962,0.05,1.0,0.963,0.095
BraTS20_Training_108,Edema,6498,8704524,213885,3093,0.678,0.976,0.029,1.0,0.976,0.057
BraTS20_Training_108,Tumor Core,8226,8796248,123451,75,0.991,0.986,0.062,1.0,0.986,0.118
BraTS20_Training_108,Enhancing Core,7082,8804151,115651,1116,0.864,0.987,0.058,1.0,0.987,0.108
BraTS20_Training_118,Whole Tumor,46016,8660817,214698,6469,0.877,0.976,0.176,0.999,0.975,0.294
BraTS20_Training_118,Edema,27340,8758617,127159,14884,0.647,0.986,0.177,0.998,0.984,0.278
BraTS20_Training_118,Tumor Core,9054,8820578,97161,1207,0.882,0.989,0.085,1.0,0.989,0.155
BraTS20_Training_118,Enhancing Core,7981,8824908,95013,98,0.988,0.989,0.077,1.0,0.989,0.144
BraTS20_Training_132,Whole Tumor,161793,7957605,796467,12135,0.93,0.909,0.169,0.998,0.909,0.286
BraTS20_Training_132,Edema,5332,8467455,312281,142932,0.036,0.964,0.017,0.983,0.949,0.023
BraTS20_Training_132,Tumor Core,24410,8286099,616237,1254,0.951,0.931,0.038,1.0,0.931,0.073
BraTS20_Training_132,Enhancing Core,20425,8509112,397638,825,0.961,0.955,0.049,1.0,0.955,0.093
BraTS20_Training_147,Whole Tumor,61135,8578598,210145,78122,0.439,0.976,0.225,0.991,0.968,0.298
BraTS20_Training_147,Edema,5079,8785146,69113,68662,0.069,0.992,0.068,0.992,0.985,0.069
BraTS20_Training_147,Tumor Core,26322,8691718,170766,39194,0.402,0.981,0.134,0.996,0.976,0.2
BraTS20_Training_147,Enhancing Core,474,8883807,24516,19203,0.024,0.997,0.019,0.998,0.995,0.021
BraTS20_Training_151,Whole Tumor,124984,8281060,497474,24482,0.836,0.943,0.201,0.997,0.942,0.324
BraTS20_Training_151,Edema,77287,8309352,532570,8791,0.898,0.94,0.127,0.999,0.939,0.222
BraTS20_Training_151,Tumor Core,2169,8854180,10432,61219,0.034,0.999,0.172,0.993,0.992,0.057
BraTS20_Training_151,Enhancing Core,1871,8887980,1917,36232,0.049,1.0,0.494,0.996,0.996,0.089
BraTS20_Training_340,Whole Tumor,76712,7693119,1157141,1028,0.987,0.869,0.062,1.0,0.87,0.117
BraTS20_Training_340,Edema,19691,8425539,472046,10724,0.647,0.947,0.04,0.999,0.946,0.075
BraTS20_Training_340,Tumor Core,10743,8149302,731373,36582,0.227,0.918,0.014,0.996,0.914,0.027
BraTS20_Training_340,Enhancing Core,6005,8755872,141198,24925,0.194,0.984,0.041,0.997,0.981,0.067
BraTS20_Training_369,Whole Tumor,110894,7517464,1185704,113938,0.493,0.864,0.086,0.985,0.854,0.146
BraTS20_Training_369,Edema,12607,8012945,753533,148915,0.078,0.914,0.016,0.982,0.899,0.027
BraTS20_Training_369,Tumor Core,27966,8362198,502492,35344,0.442,0.943,0.053,0.996,0.94,0.094
BraTS20_Training_369,Enhancing Core,23185,8404483,480796,19536,0.543,0.946,0.046,0.998,0.944,0.085
