Name,TumorType,TP,TN,FP,FN,TPR,TNR,PPV,NPV,ACC,DS
BraTS20_Training_049,Whole Tumor,72398,8833624,10958,11020,0.868,0.999,0.869,0.999,0.998,0.868
BraTS20_Training_049,Edema,60961,8841713,10504,14822,0.804,0.999,0.853,0.998,0.997,0.828
BraTS20_Training_049,Tumor Core,7370,8915844,4521,265,0.965,0.999,0.62,1.0,0.999,0.755
BraTS20_Training_049,Enhancing Core,5079,8920584,1369,968,0.84,1.0,0.788,1.0,1.0,0.813
BraTS20_Training_105,Whole Tumor,17027,8900159,2849,7965,0.681,1.0,0.857,0.999,0.999,0.759
BraTS20_Training_105,Edema,8766,8908004,2921,8309,0.513,1.0,0.75,0.999,0.999,0.61
BraTS20_Training_105,Tumor Core,7252,8919146,937,665,0.916,1.0,0.886,1.0,1.0,0.901
BraTS20_Training_105,Enhancing Core,4635,8921713,443,1209,0.793,1.0,0.913,1.0,1.0,0.849
BraTS20_Training_184,Whole Tumor,102948,8749348,55723,19981,0.837,0.994,0.649,0.998,0.992,0.731
BraTS20_Training_184,Edema,51071,8829890,17684,29355,0.635,0.998,0.743,0.997,0.995,0.685
BraTS20_Training_184,Tumor Core,38243,8833824,51673,4260,0.9,0.994,0.425,1.0,0.994,0.578
BraTS20_Training_184,Enhancing Core,25066,8875124,25938,1872,0.931,0.997,0.491,1.0,0.997,0.643
BraTS20_Training_249,Whole Tumor,43997,8830172,39011,14820,0.748,0.996,0.53,0.998,0.994,0.62
BraTS20_Training_249,Edema,22379,8854903,36030,14688,0.604,0.996,0.383,0.998,0.994,0.469
BraTS20_Training_249,Tumor Core,15290,8896941,9309,6460,0.703,0.999,0.622,0.999,0.998,0.66
BraTS20_Training_249,Enhancing Core,12858,8903629,4211,7302,0.638,1.0,0.753,0.999,0.999,0.691
BraTS20_Training_369,Whole Tumor,221466,8394864,308304,3366,0.985,0.965,0.418,1.0,0.965,0.587
BraTS20_Training_369,Edema,128558,8600480,165998,32964,0.796,0.981,0.436,0.996,0.978,0.564
BraTS20_Training_369,Tumor Core,53293,8682769,181921,10017,0.842,0.979,0.227,0.999,0.979,0.357
BraTS20_Training_369,Enhancing Core,41419,8809603,75676,1302,0.97,0.991,0.354,1.0,0.991,0.518
