Name,TumorType,TP,TN,FP,FN,TPR,TNR,PPV,NPV,ACC,DS
BraTS20_Training_049,Whole Tumor,71775,8834696,9886,11643,0.86,0.999,0.879,0.999,0.998,0.87
BraTS20_Training_049,Edema,64072,8841675,10542,11711,0.845,0.999,0.859,0.999,0.998,0.852
BraTS20_Training_049,Tumor Core,6559,8919877,488,1076,0.859,1.0,0.931,1.0,1.0,0.893
BraTS20_Training_049,Enhancing Core,5101,8920871,1082,946,0.844,1.0,0.825,1.0,1.0,0.834
BraTS20_Training_055,Whole Tumor,34712,8809508,98,83682,0.293,1.0,0.997,0.991,0.991,0.453
BraTS20_Training_055,Edema,1725,8824275,498,101502,0.017,1.0,0.776,0.989,0.989,0.033
BraTS20_Training_055,Tumor Core,10332,8890578,22255,4835,0.681,0.998,0.317,0.999,0.997,0.433
BraTS20_Training_055,Enhancing Core,5562,8918399,1024,3015,0.648,1.0,0.845,1.0,1.0,0.734
BraTS20_Training_105,Whole Tumor,14525,8902521,487,10467,0.581,1.0,0.968,0.999,0.999,0.726
BraTS20_Training_105,Edema,7086,8909991,934,9989,0.415,1.0,0.884,0.999,0.999,0.565
BraTS20_Training_105,Tumor Core,6874,8919965,118,1043,0.868,1.0,0.983,1.0,1.0,0.922
BraTS20_Training_105,Enhancing Core,4723,8922000,156,1121,0.808,1.0,0.968,1.0,1.0,0.881
BraTS20_Training_249,Whole Tumor,50800,8777023,92160,8017,0.864,0.99,0.355,0.999,0.989,0.504
BraTS20_Training_249,Edema,30018,8795118,95815,7049,0.81,0.989,0.239,0.999,0.988,0.369
BraTS20_Training_249,Tumor Core,14251,8903374,2876,7499,0.655,1.0,0.832,0.999,0.999,0.733
BraTS20_Training_249,Enhancing Core,13194,8905048,2792,6966,0.654,1.0,0.825,0.999,0.999,0.73
